,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
0,,"
North America
","2,044,346","+3,513","123,858",+386,"670,598","1,249,890","19,427",,,,,,North America
1,,"
South America
","847,008","+2,389","39,340",+25,"345,961","461,707","11,281",,,,,,South America
2,,"
Europe
","2,004,226",,"173,280",,"978,245","852,701","8,796",,,,,,Europe
3,,"
Asia
","1,108,043",+522,"30,208",+1,"672,401","405,434","13,624",,,,,,Asia
4,,"
Africa
","143,769",,"4,092",,"60,987","78,690",370,,,,,,Africa
5,,"
Oceania
","8,801",+7,125,,"8,196",480,4,,,,,,Australia/Oceania
6,,"

",721,,15,,651,55,4,,,,,,
39,32,Indonesia,"25,773",,"1,573 ",,"7,015","17,185",,94,6,"311,906","1,141","273,271,317 ",Asia
40,33,Ireland,"24,929",,"1,651 ",,"22,089","1,189",42,"5,054",335,"325,795","66,045","4,932,957 ",Europe
41,34,Poland,"23,571",,"1,061 ",,"11,016","11,494",160,623,28,"899,069","23,753","37,849,973 ",Europe
42,35,Egypt,"23,449",,913 ,,"5,693","16,843",41,230,9,"135,000","1,321","102,157,382 ",Africa
43,36,Ukraine,"23,204",,696 ,,"9,311","13,197",273,530,16,"348,279","7,960","43,754,416 ",Europe
44,37,Romania,"19,133",,"1,259 ",,"13,046","4,828",160,994,65,"425,819","22,123","19,247,736 ",Europe
45,38,Philippines,"17,224",,950 ,,"3,808","12,466",56,157,9,"340,954","3,115","109,451,714 ",Asia
46,39,Israel,"17,012",,284 ,,"14,811","1,917",39,"1,850",31,"567,429","61,693","9,197,590 ",Asia
47,40,Dominican Republic,"16,908",,498 ,,"9,557","6,853",106,"1,560",46,"76,930","7,098","10,838,453 ",North America
48,41,Japan,"16,804",,886 ,,"14,406","1,512",123,133,7,"287,754","2,275","126,507,477 ",Asia
49,42,Austria,"16,685",,668 ,,"15,520",497,23,"1,853",74,"442,143","49,116","9,002,048 ",Europe
50,43,Argentina,"16,214",,528 ,,"4,788","10,898",259,359,12,"155,407","3,441","45,159,906 ",South America
