,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
90,Sudan,930,+78,52.0,+3,92.0,786,,21.0,1.0,,
91,Somalia,928,+55,44.0,+5,106.0,778,2.0,58.0,3.0,,
92,Latvia,909,+9,18.0,+1,464.0,427,3.0,482.0,10.0,71069.0,37678.0
93,Kyrgyzstan,895,+24,12.0,,637.0,246,13.0,137.0,2.0,59490.0,9118.0
94,Cyprus,889,+6,15.0,,400.0,474,15.0,736.0,12.0,69037.0,57180.0
95,DRC,863,+66,36.0,+1,103.0,724,,10.0,0.4,,
96,Albania,842,+10,31.0,,605.0,206,7.0,293.0,11.0,9806.0,3407.0
97,Sri Lanka,804,+7,9.0,,232.0,563,1.0,38.0,0.4,30525.0,1426.0
98,Guatemala,798,+35,21.0,+2,86.0,691,5.0,45.0,1.0,7200.0,402.0
99,Lebanon,784,+34,25.0,,220.0,539,43.0,115.0,4.0,46677.0,6839.0
100,Niger,770,,38.0,,561.0,171,,32.0,2.0,5409.0,223.0
101,Costa Rica,761,,6.0,,428.0,327,5.0,149.0,1.0,14448.0,2836.0
102,Andorra,751,,46.0,,521.0,184,15.0,9720.0,595.0,1673.0,21653.0
103,Mayotte,739,,9.0,,352.0,378,6.0,2709.0,33.0,3400.0,12463.0
104,Burkina Faso,729,,48.0,,555.0,126,,35.0,2.0,,
105,Diamond Princess,712,,13.0,,645.0,54,4.0,,,,
106,El Salvador,695,+62,15.0,,245.0,435,4.0,107.0,2.0,35411.0,5459.0
